REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,1/11/2022 0:05,4453.15,59.99,TRADE
VIC1,1/11/2022 0:10,4395.88,59.99,TRADE
VIC1,1/11/2022 0:15,4334.21,19.13,TRADE
VIC1,1/11/2022 0:20,4350.68,19.19,TRADE
VIC1,1/11/2022 0:25,4295.9,0.14,TRADE
VIC1,1/11/2022 0:30,4178.18,8.94,TRADE
VIC1,1/11/2022 0:35,4231.83,19.13,TRADE
VIC1,1/11/2022 0:40,4235.48,8.94,TRADE
VIC1,1/11/2022 0:45,4182.45,0.02,TRADE
VIC1,1/11/2022 0:50,4157.89,0,TRADE
VIC1,1/11/2022 0:55,4106.83,0.02,TRADE
VIC1,1/11/2022 1:00,4086.02,0.14,TRADE
VIC1,1/11/2022 1:05,4079.38,2.94,TRADE
VIC1,1/11/2022 1:10,4081.83,0.13,TRADE
VIC1,1/11/2022 1:15,4058.57,8.94,TRADE
VIC1,1/11/2022 1:20,4081.77,8.7,TRADE
VIC1,1/11/2022 1:25,4046.24,0.14,TRADE
VIC1,1/11/2022 1:30,4033.37,0.02,TRADE
VIC1,1/11/2022 1:35,3969.81,0.02,TRADE
VIC1,1/11/2022 1:40,3978.18,0.13,TRADE
VIC1,1/11/2022 1:45,4005.26,0.02,TRADE
VIC1,1/11/2022 1:50,3966.53,0.02,TRADE
VIC1,1/11/2022 1:55,3961.23,0.02,TRADE
VIC1,1/11/2022 2:00,3985.64,0,TRADE
VIC1,1/11/2022 2:05,3964.34,8.94,TRADE
VIC1,1/11/2022 2:10,3978.77,0.13,TRADE
VIC1,1/11/2022 2:15,3990.04,0.04,TRADE
VIC1,1/11/2022 2:20,3936.09,0,TRADE
VIC1,1/11/2022 2:25,3903.58,0.02,TRADE
VIC1,1/11/2022 2:30,3885.64,0.02,TRADE
VIC1,1/11/2022 2:35,3941.09,0.02,TRADE
VIC1,1/11/2022 2:40,3869.38,0.02,TRADE
VIC1,1/11/2022 2:45,3829.85,0,TRADE
VIC1,1/11/2022 2:50,3901.66,0.13,TRADE
VIC1,1/11/2022 2:55,3823.1,0.02,TRADE
VIC1,1/11/2022 3:00,3919.59,1.04,TRADE
VIC1,1/11/2022 3:05,3925.66,0,TRADE
VIC1,1/11/2022 3:10,3881.16,0,TRADE
VIC1,1/11/2022 3:15,3862.79,0,TRADE
VIC1,1/11/2022 3:20,3823.38,0,TRADE
VIC1,1/11/2022 3:25,3815.94,0.12,TRADE
VIC1,1/11/2022 3:30,3806.64,0.12,TRADE
VIC1,1/11/2022 3:35,3839.91,0.14,TRADE
VIC1,1/11/2022 3:40,3800.12,0.02,TRADE
